Rank,Team,G,PF,Pass Y/P
1,Kansas City Chiefs,7,223,6.3
2,Seattle Seahawks,7,183,6.3
3,Baltimore Ravens,7,181,5.9
4,Buffalo Bills,6,176,6.6
5,New Orleans Saints,7,175,6.1
6,Cincinnati Bengals,7,173,5.5
7,Cleveland Browns,7,168,5.6
8,Los Angeles Chargers,7,164,5.3
9,Las Vegas Raiders,6,163,6.0
10,Atlanta Falcons,7,163,5.4
11,Philadelphia Eagles,6,161,5.6
12,New York Jets,7,159,5.1
13,Arizona Cardinals,7,156,4.9
14,New England Patriots,7,155,5.8
15,Jacksonville Jaguars,7,155,5.8
16,New York Giants,7,150,5.2
17,Miami Dolphins,7,147,6.1
18,Detroit Lions,6,146,6.1
19,San Francisco 49ers,7,145,5.8
20,Minnesota Vikings,6,139,5.4
21,Dallas Cowboys,7,134,5.1
22,Green Bay Packers,7,128,5.3
23,Chicago Bears,7,126,5.3
24,Washington Commanders,7,125,4.9
25,Carolina Panthers,7,124,5.1
26,Tampa Bay Buccaneers,7,124,5.1
27,Tennessee Titans,6,115,4.9
28,Indianapolis Colts,7,113,5.0
29,Pittsburgh Steelers,7,107,4.8
30,Houston Texans,6,106,5.2
31,Los Angeles Rams,6,104,5.0
32,Denver Broncos,7,100,5.1
,Avg Team,,146.5,5.5
,League Total,,4688,5.5
,Avg Tm/G,,21.7,5.5
